module_age_years,ambient_temp_c,module_temp_c,relative_humidity_pct,daily_temp_swing_c,irradiance_kwh_m2_day,soiling_index,annual_degradation_rate_pct,cumulative_degradation_pct,current_power_ratio,fault_flag
8.52,31.33,45.7,57.74,9.22,7.37,0.243,0.3285,3.955,0.9604,0
9.8,19.28,34.78,27.6,13.67,5.21,0.886,0.2744,2.766,0.9723,0
17.3,33.05,57.42,50.98,11.67,4.16,0.577,0.7126,11.305,0.8869,0
7.77,35.27,68.33,31.23,30.43,5.14,0.047,1.2288,10.765,0.8923,1
23.75,29.01,53.38,85.24,24.34,4.84,0.704,1.03,25.345,0.7466,1
22.95,3.49,23.17,70.27,15.05,5.68,0.507,0.1501,5.325,0.9467,0
12.28,17.78,44.37,42.3,22.03,5.23,0.855,0.6779,8.673,0.9133,0
8.54,43.09,63.65,57.23,8.51,3.81,0.682,0.9208,9.648,0.9035,1
13.62,23.63,43.36,68.56,13.29,3.4,0.004,0.1966,3.693,0.9631,0
21.29,12.13,28.38,77.63,18.73,5.49,0.206,0.3605,7.551,0.9245,0
16.49,37.88,68.33,21.41,21.17,6.72,0.258,1.0168,18.183,0.8182,1
20.21,28.11,34.87,16.8,17.32,5.29,0.702,0.33,8.48,0.9152,0
13.55,36.84,63.63,24.16,19.74,6.09,0.509,0.8161,12.551,0.8745,1
16.01,30.22,49.43,46.6,18.55,6.31,0.747,0.5239,10.94,0.8906,0
7.56,31.67,51.21,52.34,16.85,5.49,0.513,0.6239,3.954,0.9605,0
18.5,30.9,63.06,25.92,15.93,4.3,0.327,0.8072,17.105,0.8289,1
5.46,33.58,51.3,47.89,15.02,5.41,0.104,0.3007,0.0,1.0,0
17.52,46.22,64.14,50.33,19.62,6.53,0.203,0.8099,14.97,0.8503,1
21.59,35.77,56.99,23.73,20.88,5.78,0.401,0.6733,15.445,0.8455,0
3.74,15.36,39.84,88.33,19.39,6.02,0.551,0.5539,4.541,0.9546,0
15.55,31.57,50.92,62.93,9.75,4.69,0.939,0.4631,7.751,0.9225,0
2.83,37.13,49.69,46.08,11.01,4.98,0.24,0.5422,2.59,0.9741,0
18.28,37.62,54.43,55.55,20.79,5.07,0.666,0.7733,12.274,0.8773,0
2.57,24.59,54.28,40.14,28.3,5.14,0.153,0.6448,1.122,0.9888,0
23.43,37.32,59.77,83.35,19.07,6.48,0.714,0.961,22.676,0.7732,1
3.87,35.42,60.13,61.0,15.12,2.62,0.011,0.6621,6.732,0.9327,1
23.99,48.58,69.01,54.59,19.57,5.23,0.656,1.2384,30.227,0.6977,1
20.12,22.0,40.04,87.87,10.04,5.11,0.163,0.4825,11.048,0.8895,0
15.05,23.94,56.01,82.04,27.16,3.69,0.18,1.0375,16.583,0.8342,1
19.67,25.55,46.42,80.02,19.31,5.94,0.559,0.5901,10.163,0.8984,0
19.98,24.08,43.42,33.05,13.31,4.4,0.375,0.3698,7.727,0.9227,0
23.68,20.88,49.46,27.25,16.83,4.81,0.471,0.5187,14.532,0.8547,0
6.71,5.9,23.56,70.21,14.31,7.23,0.309,0.2502,2.03,0.9797,0
14.96,24.52,42.95,52.49,27.18,6.31,0.953,0.6994,7.423,0.9258,0
2.83,30.95,53.02,69.7,16.58,5.83,0.291,0.666,1.001,0.99,0
15.6,24.05,46.06,75.85,19.09,5.62,0.542,0.6039,11.914,0.8809,0
4.7,43.48,67.04,38.63,22.02,5.02,0.854,1.0611,6.073,0.9393,1
14.34,28.11,62.66,37.77,12.81,7.4,0.664,0.7314,13.207,0.8679,1
14.52,38.33,62.35,54.27,19.36,6.08,0.323,0.8454,11.377,0.8862,0
11.92,30.09,37.82,36.88,19.92,4.38,0.552,0.2847,6.033,0.9397,0
13.3,34.61,58.57,68.38,7.12,3.66,0.083,0.4687,6.791,0.9321,0
19.22,30.23,52.46,74.74,19.77,5.82,0.546,0.7732,18.617,0.8138,1
20.08,38.95,61.21,52.76,17.68,5.14,0.431,0.8439,18.166,0.8183,1
12.56,28.45,51.92,72.9,18.91,3.63,0.758,0.5243,3.779,0.9622,0
15.19,31.97,53.8,55.84,18.25,5.67,0.848,0.6354,11.83,0.8817,0
23.32,30.93,52.61,72.03,19.81,4.9,0.2,0.607,14.963,0.8504,0
3.43,25.69,51.37,33.0,27.36,5.78,0.082,0.6327,1.624,0.9838,0
3.37,31.24,49.99,74.11,9.74,5.69,0.391,0.3772,0.0,1.0,0
2.65,45.88,62.19,72.21,15.6,4.53,0.534,0.8076,4.863,0.9514,1
16.62,25.84,65.98,36.33,22.67,5.9,0.377,1.0903,18.156,0.8184,1
10.76,31.36,49.06,59.48,21.37,4.65,0.629,0.412,7.477,0.9252,0
19.47,38.06,60.66,83.42,21.22,4.72,0.506,1.0438,20.768,0.7923,1
16.95,37.12,50.15,34.96,37.28,4.61,0.937,0.9621,15.697,0.843,1
8.67,28.09,50.79,73.88,22.3,6.44,0.409,0.6678,8.287,0.9171,0
22.51,8.93,25.33,91.32,25.92,4.89,0.082,0.4523,11.518,0.8848,0
19.18,32.13,51.48,84.3,15.85,6.71,0.302,0.826,16.869,0.8313,1
7.13,10.24,38.51,47.12,11.05,7.16,0.606,0.1318,0.0,1.0,0
9.42,39.76,64.59,63.58,15.8,4.39,0.256,1.0613,9.607,0.9039,1
8.2,29.36,54.77,94.34,22.98,2.0,0.269,0.625,6.124,0.9388,0
4.36,36.0,47.37,60.47,20.85,6.35,0.34,0.6715,0.891,0.9911,0
4.12,20.78,53.8,24.2,20.82,4.82,0.746,0.3839,0.789,0.9921,0
23.44,15.58,30.43,18.63,16.5,4.25,0.94,0.5897,14.68,0.8532,0
11.23,30.09,61.26,78.23,15.38,4.55,0.35,0.8934,10.621,0.8938,1
9.89,27.73,55.86,48.89,16.74,4.74,0.195,0.7046,9.802,0.902,1
18.38,24.07,49.53,34.75,23.07,6.63,0.421,0.6688,12.849,0.8715,0
14.05,28.68,45.55,42.81,23.89,5.38,0.352,0.4493,5.858,0.9414,0
23.44,50.0,72.91,75.59,10.96,6.61,0.99,1.7083,45.0,0.55,1
19.62,34.68,53.85,52.22,23.34,5.74,0.464,0.588,11.99,0.8801,0
12.24,36.4,58.57,84.48,13.44,4.86,0.679,0.9938,12.404,0.876,1
9.72,34.75,55.25,73.79,21.28,4.77,0.914,0.7973,7.541,0.9246,0
24.67,39.84,49.6,92.92,16.66,5.82,0.629,0.6218,16.574,0.8343,0
18.09,26.48,55.21,86.08,28.96,6.1,0.249,1.0713,20.53,0.7947,1
23.8,11.56,33.08,35.36,15.07,6.3,0.607,0.1935,7.721,0.9228,0
3.4,26.49,45.58,67.72,19.25,4.91,0.402,0.4474,2.26,0.9774,0
21.34,34.49,53.13,16.64,22.25,5.39,0.422,0.5834,15.563,0.8444,0
16.11,20.24,44.39,94.29,11.88,5.84,0.979,0.5272,11.068,0.8893,0
3.49,26.59,43.23,35.88,17.49,4.78,0.279,0.281,1.398,0.986,0
14.91,22.47,30.93,68.18,16.13,3.95,0.469,0.4594,8.226,0.9177,0
17.31,40.02,64.46,82.93,14.4,4.31,0.16,1.0884,21.627,0.7837,1
0.8,34.0,59.11,27.84,14.92,4.93,0.179,0.5443,0.0,1.0,0
11.63,33.21,54.01,82.83,25.78,5.93,0.603,0.9031,15.133,0.8487,1
20.72,32.97,48.09,15.98,13.81,6.58,0.751,0.4738,10.25,0.8975,0
7.74,27.7,50.24,50.36,21.96,3.71,0.636,0.4635,3.271,0.9673,0
11.73,29.58,42.79,52.76,20.2,4.54,0.329,0.4507,3.804,0.962,0
11.34,18.52,34.36,44.93,8.22,4.81,0.06,0.1805,0.582,0.9942,0
7.9,10.51,28.0,61.91,21.63,6.07,0.47,0.1726,3.243,0.9676,0
23.0,29.2,56.26,88.19,8.11,4.62,0.504,0.9768,27.722,0.7228,1
19.64,30.59,50.42,41.16,22.4,4.73,0.771,0.7576,15.118,0.8488,0
3.21,37.67,56.99,61.34,14.45,3.65,0.64,0.5883,2.526,0.9747,0
24.93,40.57,74.3,85.2,18.06,5.73,0.871,1.9648,45.0,0.55,1
22.04,40.56,64.67,76.84,8.94,5.02,0.783,1.1347,28.069,0.7193,1
7.46,20.02,44.05,18.26,18.86,4.48,0.366,0.2043,5.433,0.9457,0
21.0,25.18,44.96,90.42,24.49,4.91,0.632,0.8595,21.867,0.7813,1
3.11,31.84,50.26,18.73,12.35,6.44,0.747,0.391,0.882,0.9912,0
24.98,48.26,57.14,62.1,13.75,4.09,0.957,0.9078,25.269,0.7473,1
16.81,39.84,67.65,61.03,21.18,4.27,0.422,1.1296,20.938,0.7906,1
16.43,36.96,61.65,77.91,21.36,6.58,0.648,1.0914,18.778,0.8122,1
2.72,24.9,45.82,26.88,2.0,5.28,0.393,0.4083,0.0,1.0,0
22.48,20.93,42.11,29.35,32.11,5.94,0.738,0.6715,15.23,0.8477,0
1.21,34.31,60.73,75.17,21.7,5.64,0.912,1.1039,3.244,0.9676,0
6.4,19.19,31.87,26.96,22.88,5.16,0.919,0.5577,5.829,0.9417,0
4.0,26.09,44.55,52.56,17.0,4.82,0.157,0.2926,0.921,0.9908,0
19.53,27.08,42.26,73.53,5.01,6.11,0.204,0.1695,4.903,0.951,0
5.36,40.74,73.37,67.1,22.72,6.48,0.755,1.64,10.906,0.8909,1
22.81,25.16,52.42,31.85,14.04,6.39,0.631,0.5568,11.379,0.8862,0
16.58,8.49,17.27,39.32,21.81,3.9,0.905,0.4126,6.998,0.93,0
1.39,32.04,44.95,92.52,16.47,6.64,0.314,0.6727,4.279,0.9572,1
0.63,22.41,43.61,50.89,19.67,4.81,0.848,0.451,0.784,0.9922,0
1.77,28.34,47.51,18.56,12.58,4.37,0.684,0.2157,0.0,1.0,0
15.35,27.31,41.36,32.57,24.05,5.01,0.195,0.1563,3.382,0.9662,0
20.14,25.81,59.48,42.39,9.68,6.11,0.126,0.8993,21.014,0.7899,1
6.34,34.32,58.2,94.96,33.72,5.79,0.703,1.4757,5.353,0.9465,0
21.31,15.74,40.59,39.22,33.67,4.92,0.158,0.6668,15.837,0.8416,0
1.9,23.86,41.71,17.11,29.43,6.12,0.794,0.6649,0.678,0.9932,0
20.12,33.47,59.81,56.03,26.93,5.35,0.557,0.804,14.689,0.8531,0
23.23,23.09,42.8,21.69,17.41,4.57,0.477,0.259,7.685,0.9232,0
19.42,15.13,35.43,36.93,26.17,4.42,0.276,0.618,12.926,0.8707,0
17.6,33.35,59.01,94.39,17.33,5.65,0.984,1.2034,22.128,0.7787,1
21.03,36.98,49.21,71.37,7.13,5.11,0.722,0.4107,9.37,0.9063,0
1.48,27.64,59.22,19.05,28.52,3.69,0.778,0.7661,0.0,1.0,0
5.44,12.31,35.41,50.89,25.9,6.13,0.769,0.4693,0.305,0.997,0
3.56,33.65,63.33,28.73,17.78,4.67,0.584,0.7981,1.778,0.9822,0
12.86,14.72,30.27,24.84,9.42,6.95,0.94,0.5054,8.513,0.9149,0
18.76,30.47,46.93,61.97,13.9,3.66,0.584,0.41,9.165,0.9084,0
15.94,20.9,35.93,55.45,5.25,5.0,0.52,0.1039,2.38,0.9762,0
21.35,18.72,42.22,74.43,24.62,4.43,0.274,0.5255,10.845,0.8916,0
4.3,24.46,46.86,86.38,6.78,4.13,0.282,0.4768,1.538,0.9846,0
18.5,26.53,45.75,34.73,20.01,4.66,0.737,0.3277,8.343,0.9166,0
5.23,22.85,38.76,88.84,12.09,7.15,0.335,0.4364,3.256,0.9674,0
7.13,32.71,47.11,56.44,8.01,5.36,0.729,0.5409,3.303,0.967,0
17.89,24.43,46.14,35.71,19.67,4.33,0.953,0.5137,5.893,0.9411,0
24.52,35.84,55.05,82.66,15.66,3.19,0.439,0.6437,16.337,0.8366,0
15.48,30.25,48.14,17.84,23.87,3.31,0.097,0.3903,6.047,0.9395,0
1.84,22.42,53.7,59.76,9.13,4.61,0.667,0.3608,0.0,1.0,0
15.6,21.07,42.58,72.73,12.7,4.5,0.01,0.2978,4.774,0.9523,0
1.54,14.82,44.44,37.4,2.0,4.95,0.787,0.3532,1.91,0.9809,0
22.16,30.33,49.13,84.08,2.71,2.7,0.526,0.3975,10.17,0.8983,0
17.88,25.16,48.63,34.22,30.59,5.1,0.49,0.9176,19.054,0.8095,1
4.74,9.02,30.69,82.19,32.59,6.33,0.569,0.7854,1.356,0.9864,0
2.75,23.71,35.53,21.28,18.65,6.99,0.516,0.1414,0.0,1.0,0
5.0,20.79,51.36,27.79,12.23,3.12,0.324,0.1771,0.0,1.0,0
24.51,40.61,61.79,45.48,15.91,4.32,0.282,0.6356,16.546,0.8345,0
11.73,14.38,40.86,83.32,24.12,4.26,0.415,0.73,7.356,0.9264,0
19.71,16.47,33.96,26.57,14.4,5.36,0.895,0.4163,11.498,0.885,0
16.09,36.88,57.89,85.04,19.66,3.86,0.135,1.0524,18.464,0.8154,1
14.52,38.85,55.65,33.38,17.91,7.05,0.325,0.5775,10.785,0.8921,0
4.06,22.04,51.46,51.2,14.02,5.25,0.192,0.4146,1.067,0.9893,0
23.68,22.94,46.81,43.22,14.32,5.06,0.427,0.2384,5.544,0.9446,0
7.88,32.93,57.13,24.45,20.05,6.95,0.133,0.6441,3.615,0.9639,0
14.66,9.38,39.53,90.54,11.16,5.18,0.761,0.4261,7.419,0.9258,0
17.64,13.11,42.05,50.05,21.16,5.64,0.103,0.3573,10.278,0.8972,0
16.41,25.75,52.35,70.23,14.7,4.37,0.665,0.7834,14.413,0.8559,1
23.54,40.4,53.87,61.02,18.89,3.69,0.268,0.5747,14.478,0.8552,0
4.14,24.51,42.34,55.14,27.69,4.53,0.472,0.7228,2.776,0.9722,0
12.95,28.81,44.78,64.33,16.82,7.61,0.2,0.2457,3.733,0.9627,0
10.4,37.07,63.44,86.87,24.44,5.9,0.73,1.6535,20.963,0.7904,1
12.12,44.86,67.88,70.94,5.46,5.5,0.948,1.2148,17.296,0.827,1
3.42,23.39,37.04,57.6,14.71,4.13,0.222,0.3392,1.661,0.9834,0
3.79,27.87,48.73,66.61,18.19,6.2,0.953,0.7094,2.951,0.9705,0
7.31,42.58,55.61,63.51,31.46,3.71,0.325,0.873,7.119,0.9288,0
7.97,15.82,37.5,49.65,4.28,3.48,0.558,0.3157,3.607,0.9639,0
10.98,36.22,48.29,64.98,17.33,4.59,0.702,0.6294,6.694,0.9331,0
15.47,19.85,45.03,50.49,28.2,7.35,0.199,0.5193,7.441,0.9256,0
16.05,28.82,53.09,75.61,12.5,7.29,0.445,0.5514,11.4,0.886,0
10.59,26.06,59.51,92.51,16.51,4.7,0.068,0.9803,10.853,0.8915,1
10.52,20.34,47.42,91.79,20.32,4.46,0.697,0.6869,9.219,0.9078,0
5.83,20.14,39.6,80.66,19.29,3.4,0.417,0.5877,6.312,0.9369,0
14.91,30.21,57.12,63.14,28.96,5.29,0.892,1.0827,17.761,0.8224,1
8.27,35.96,49.58,74.95,21.14,5.38,0.274,0.6,5.846,0.9415,0
1.38,26.96,43.19,29.24,27.29,6.07,0.924,0.6874,6.248,0.9375,1
10.75,28.56,52.56,53.32,15.48,6.2,0.141,0.2609,3.594,0.9641,0
12.12,32.57,41.62,35.58,12.82,4.98,0.607,0.2476,1.742,0.9826,0
6.03,20.23,42.0,15.28,16.42,5.81,0.308,0.3417,1.773,0.9823,0
14.53,33.92,49.8,92.34,9.89,4.43,0.182,0.6874,13.269,0.8673,1
14.36,34.55,57.16,84.11,21.38,5.79,0.094,0.8999,11.499,0.885,0
17.7,48.83,64.36,56.1,15.3,4.64,0.656,1.1198,19.57,0.8043,1
16.37,24.99,49.54,35.33,13.3,5.71,0.233,0.4665,10.341,0.8966,0
16.48,24.34,46.45,70.44,21.49,5.62,0.573,0.5246,9.086,0.9091,0
8.25,34.15,64.55,49.78,9.99,5.28,0.979,0.9235,7.727,0.9227,0
19.79,34.55,56.59,79.27,23.39,6.07,0.316,0.9349,21.462,0.7854,1
13.95,23.72,41.11,94.96,14.65,3.47,0.035,0.3534,4.427,0.9557,0
11.07,24.77,45.29,42.93,26.11,4.03,0.143,0.6657,5.414,0.9459,0
15.84,32.33,46.26,34.55,15.25,4.9,0.119,0.1961,1.644,0.9836,0
9.34,21.38,45.82,36.39,22.42,3.61,0.463,0.4973,5.959,0.9404,0
13.06,24.72,50.25,22.47,19.26,4.75,0.745,0.5937,8.793,0.9121,0
18.55,28.72,65.53,46.52,23.21,4.79,0.296,1.0027,18.527,0.8147,1
22.22,35.97,54.24,16.39,18.77,6.64,0.146,0.4479,9.466,0.9053,0
23.07,23.16,43.56,24.15,6.36,5.36,0.641,0.2819,7.572,0.9243,0
12.84,13.26,31.81,36.74,25.06,6.33,0.301,0.4946,8.786,0.9121,0
13.25,12.67,35.94,27.79,17.39,5.53,0.575,0.2654,2.76,0.9724,0
20.1,17.92,42.21,73.57,23.53,4.61,0.934,0.4897,9.964,0.9004,0
8.2,17.49,39.17,23.45,22.83,5.35,0.291,0.5113,2.521,0.9748,0
21.02,26.76,55.28,84.28,12.59,6.0,0.512,0.8013,17.539,0.8246,1
12.61,18.49,36.79,32.69,11.6,6.51,0.807,0.4195,6.423,0.9358,0
3.34,22.38,50.3,23.69,22.59,5.05,0.692,0.6502,5.729,0.9427,1
2.27,21.81,47.04,15.81,15.88,3.39,0.751,0.6419,1.851,0.9815,0
21.13,24.48,46.4,72.22,24.56,3.31,0.773,0.7744,17.591,0.8241,1
1.86,38.58,58.69,35.53,16.75,4.84,0.54,0.5809,2.532,0.9747,0
7.37,33.3,69.86,55.76,25.16,2.63,0.536,1.4519,12.101,0.879,1
8.69,28.13,45.23,23.93,20.96,7.17,0.719,0.4288,3.089,0.9691,0
4.74,24.31,48.1,93.82,20.02,5.86,0.698,0.6889,7.183,0.9282,1
8.19,24.53,42.03,25.03,15.38,4.5,0.67,0.1877,1.787,0.9821,0
18.7,30.62,63.34,47.95,19.63,3.98,0.382,0.8509,17.381,0.8262,1
0.86,32.67,59.99,83.13,26.35,6.33,0.829,1.2625,2.003,0.98,0
20.77,20.74,38.67,34.59,17.62,3.97,0.236,0.2733,7.528,0.9247,0
21.49,28.29,53.37,36.36,21.72,4.08,0.156,0.4146,12.778,0.8722,0
9.62,11.75,35.29,79.68,18.32,4.36,0.345,0.1994,1.32,0.9868,0
4.26,29.69,48.59,36.87,18.87,5.33,0.254,0.6599,4.208,0.9579,0
15.22,34.1,60.65,15.23,30.06,5.88,0.663,1.0243,16.641,0.8336,1
3.43,25.76,50.1,49.23,26.41,6.51,0.231,0.5382,3.54,0.9646,0
9.44,42.53,65.83,16.0,18.56,6.35,0.656,1.0168,9.607,0.9039,1
23.98,20.95,42.7,87.78,19.5,5.2,0.513,0.7876,19.923,0.8008,1
24.89,29.74,54.33,66.35,13.09,6.32,0.152,0.6305,18.612,0.8139,0
19.42,27.71,51.09,61.64,16.79,4.46,0.258,0.1951,5.53,0.9447,0
8.12,27.2,49.55,31.13,20.17,3.2,0.522,0.7671,5.159,0.9484,0
17.35,27.09,45.24,71.0,23.95,4.46,0.733,0.4164,10.406,0.8959,0
17.78,28.86,61.02,69.18,23.24,4.31,0.398,0.9552,19.194,0.8081,1
10.0,34.78,50.48,19.84,10.24,4.5,0.233,0.2089,2.365,0.9764,0
16.2,39.02,63.59,85.47,24.84,4.14,0.295,1.1945,19.441,0.8056,1
0.76,27.98,48.06,61.35,17.38,4.69,0.095,0.4582,0.957,0.9904,0
5.62,34.52,67.08,78.4,11.09,5.88,0.025,0.9554,6.619,0.9338,1
13.36,22.39,38.96,36.03,27.35,7.09,0.973,0.5975,5.989,0.9401,0
4.51,34.13,51.72,24.76,28.24,3.3,0.096,0.7357,4.051,0.9595,0
4.56,21.9,38.09,71.2,19.85,3.78,0.125,0.2622,2.387,0.9761,0
20.99,36.73,60.67,78.51,22.96,4.33,0.871,0.9523,17.411,0.8259,1
24.73,45.69,59.45,45.88,23.37,6.04,0.664,0.8372,22.727,0.7727,1
14.12,27.02,46.15,16.9,27.77,4.97,0.436,0.5376,9.43,0.9057,0
21.06,10.46,19.55,80.46,23.1,4.4,0.649,0.333,9.281,0.9072,0
24.76,23.62,47.06,31.49,8.71,5.99,0.935,0.2695,9.696,0.903,0
3.97,37.86,56.85,42.12,32.07,6.25,0.099,0.9452,3.302,0.967,0
11.48,32.42,45.5,65.26,25.46,5.18,0.244,0.6334,6.054,0.9395,0
10.12,29.99,58.5,23.0,14.43,4.3,0.86,0.5328,2.827,0.9717,0
2.46,36.07,50.22,20.76,10.79,5.5,0.781,0.3237,2.641,0.9736,0
19.01,31.88,58.66,17.06,21.53,4.94,0.994,0.7929,17.342,0.8266,1
11.13,37.74,55.54,88.33,16.05,4.93,0.314,0.6928,10.109,0.8989,0
12.0,35.36,66.96,39.91,20.31,4.64,0.945,1.1472,13.101,0.869,1
4.19,40.17,66.67,67.85,23.2,6.22,0.344,1.4248,7.398,0.926,1
4.93,30.87,46.82,94.14,14.03,5.47,0.715,0.6217,0.716,0.9928,0
22.72,35.24,51.74,68.56,10.19,6.34,0.883,0.4585,10.464,0.8954,0
1.59,25.54,51.18,57.01,20.7,6.67,0.171,0.5963,1.179,0.9882,0
6.2,23.19,43.61,56.67,14.27,5.7,0.206,0.3148,3.233,0.9677,0
7.66,41.65,62.64,45.15,19.02,4.64,0.581,0.8513,9.547,0.9045,1
12.51,29.73,59.36,62.98,8.6,6.34,0.844,0.8262,10.509,0.8949,0
14.87,34.44,51.95,91.7,16.23,5.71,0.079,0.7576,10.586,0.8941,0
12.59,28.99,51.54,78.04,23.0,8.0,0.851,0.8223,9.411,0.9059,0
2.56,23.31,51.04,48.94,22.24,5.54,0.343,0.5609,0.346,0.9965,0
6.47,28.09,54.94,41.6,12.48,5.97,0.406,0.7408,8.656,0.9134,1
21.17,39.49,60.53,85.68,9.82,5.52,0.34,1.0637,25.086,0.7491,1
16.12,32.44,52.71,25.86,18.11,5.09,0.911,0.6637,13.389,0.8661,0
16.4,14.31,25.88,82.97,21.93,4.92,0.131,0.3513,6.247,0.9375,0
16.92,26.28,41.94,35.41,20.84,5.52,0.574,0.3142,6.238,0.9376,0
19.19,42.26,66.17,72.25,14.41,5.77,0.148,1.2324,25.934,0.7407,1
1.92,26.29,47.46,79.5,20.08,6.47,0.929,0.6932,0.527,0.9947,0
9.48,13.6,36.05,53.16,28.52,5.54,0.798,0.5306,4.916,0.9508,0
13.72,43.14,71.38,30.38,19.44,4.69,0.234,1.2192,16.272,0.8373,1
8.79,33.46,48.34,82.58,6.57,4.84,0.298,0.3599,2.75,0.9725,0
21.19,27.44,48.02,44.4,19.42,3.74,0.382,0.5605,13.282,0.8672,0
12.32,25.03,48.16,40.65,32.31,7.03,0.405,0.8361,9.504,0.905,0
19.33,36.66,54.43,55.8,8.99,4.6,0.817,0.5874,12.969,0.8703,0
21.37,23.66,54.25,49.81,18.21,6.26,0.565,0.6098,14.847,0.8515,0
12.87,37.19,64.64,69.64,16.42,5.5,0.428,0.9859,12.987,0.8701,1
22.78,32.34,56.08,25.98,18.67,5.53,0.719,0.3979,9.187,0.9081,0
14.88,29.96,62.72,49.86,19.36,5.07,0.458,0.7267,11.742,0.8826,0
21.33,29.16,42.17,86.34,25.98,4.33,0.128,0.5063,11.305,0.887,0
8.84,26.6,48.55,17.89,18.59,4.13,0.107,0.2735,2.823,0.9718,0
12.72,36.37,60.56,51.59,26.94,7.1,0.326,0.9827,14.899,0.851,1
13.52,21.08,37.59,67.84,17.18,5.33,0.603,0.4773,5.03,0.9497,0
3.07,15.02,38.83,86.02,15.55,6.44,0.135,0.3666,4.773,0.9523,1
10.26,32.92,48.28,62.5,13.32,6.72,0.55,0.6295,6.757,0.9324,0
22.97,33.05,59.19,80.96,5.28,4.75,0.27,0.6983,18.229,0.8177,0
15.96,31.84,60.19,32.82,19.93,5.67,0.695,0.7666,11.829,0.8817,0
4.85,31.26,54.9,43.22,32.38,5.25,0.028,0.8223,5.997,0.94,1
8.8,25.44,36.32,90.37,21.21,3.93,0.469,0.5955,5.359,0.9464,0
5.19,34.3,50.5,85.88,22.81,5.0,0.052,0.7011,3.131,0.9687,0
1.11,27.64,53.02,59.64,15.11,5.85,0.331,0.5557,0.0,1.0,0
23.22,24.1,46.23,53.04,16.29,4.65,0.016,0.1639,4.897,0.951,0
11.48,25.5,31.34,51.09,24.89,4.84,0.469,0.3243,4.91,0.9509,0
8.03,44.17,73.62,19.7,32.06,5.01,0.767,1.8716,15.604,0.844,1
15.16,14.12,36.94,86.39,28.42,7.52,0.1,0.371,6.334,0.9367,0
0.68,32.0,49.08,80.45,23.64,3.18,0.735,0.8692,0.0,1.0,0
7.31,14.57,42.54,51.5,18.25,5.75,0.584,0.4727,2.428,0.9757,0
17.72,27.13,45.07,37.36,19.47,4.92,0.505,0.3402,6.263,0.9374,0
16.03,24.53,42.4,42.43,12.73,4.5,0.599,0.2332,5.344,0.9466,0
24.55,11.32,35.47,24.85,7.86,4.89,0.336,0.393,12.418,0.8758,0
15.7,31.11,63.8,72.74,10.11,5.93,0.71,1.1833,20.71,0.7929,1
12.2,24.96,56.7,59.53,18.35,6.0,0.78,0.739,9.559,0.9044,0
19.16,11.21,35.36,33.73,15.96,5.4,0.778,0.3459,8.384,0.9162,0
22.63,34.72,59.49,64.84,7.71,6.4,0.269,0.6285,15.416,0.8458,0
18.16,39.48,66.23,93.34,17.74,6.6,0.654,1.5177,25.716,0.7428,1
24.1,39.92,54.38,24.79,15.77,6.1,0.148,0.3964,10.822,0.8918,0
19.66,30.87,56.74,51.68,9.79,4.6,0.495,0.5629,11.621,0.8838,0
21.74,28.37,45.96,54.53,15.41,5.74,0.003,0.5428,11.463,0.8854,0
3.3,38.63,62.54,28.34,15.75,5.75,0.194,0.7145,1.486,0.9851,0
18.44,41.46,62.09,57.53,13.68,4.3,0.632,0.7247,14.65,0.8535,0
11.28,37.07,62.08,63.48,24.49,3.47,0.874,0.9211,9.005,0.9099,0
14.05,20.47,43.18,27.59,4.68,2.97,0.049,0.185,2.113,0.9789,0
16.53,29.61,34.61,27.38,4.1,5.28,0.559,0.1198,5.422,0.9458,0
24.26,31.52,54.59,83.51,18.02,5.53,0.637,0.8333,19.215,0.8078,0
24.62,13.52,39.38,39.91,18.67,3.9,0.932,0.2321,7.097,0.929,0
7.56,31.75,56.43,65.43,20.83,6.35,0.655,0.8745,4.943,0.9506,0
18.48,46.18,67.57,65.14,14.23,5.37,0.103,0.9975,18.253,0.8175,1
18.87,33.12,64.97,82.13,11.57,6.68,0.147,1.1304,22.109,0.7789,1
8.99,39.79,63.66,74.19,17.95,5.61,0.636,1.0661,8.289,0.9171,0
3.53,29.46,54.09,82.25,14.91,4.03,0.216,0.8516,4.033,0.9597,0
1.5,27.41,55.68,65.02,28.86,5.7,0.928,0.9968,3.747,0.9625,1
19.54,31.05,55.23,50.96,15.73,5.94,0.921,0.8742,19.639,0.8036,1
12.5,21.47,38.09,46.49,17.63,4.6,0.949,0.4638,8.056,0.9194,0
24.65,20.29,27.66,45.32,35.33,3.61,0.293,0.7986,19.09,0.8091,0
11.89,38.13,57.27,48.47,16.64,5.31,0.717,0.6606,7.98,0.9202,0
24.46,38.98,65.54,25.34,21.89,4.1,0.663,1.0358,27.772,0.7223,1
10.58,20.07,39.95,48.92,22.52,6.43,0.036,0.5165,7.34,0.9266,0
19.95,35.74,62.55,46.16,23.12,4.75,0.266,0.9925,23.89,0.7611,1
2.58,27.3,50.2,17.77,20.03,7.1,0.207,0.5217,3.155,0.9685,0
14.11,30.72,60.45,37.01,19.36,2.86,0.371,0.6789,11.749,0.8825,0
20.15,31.68,51.91,75.15,18.7,5.35,0.953,0.7094,19.861,0.8014,1
23.16,35.95,60.76,61.24,13.97,6.77,0.846,0.9908,24.627,0.7537,1
20.65,28.66,53.7,79.49,20.28,4.22,0.293,0.8673,18.706,0.8129,1
